[2020-03-16T08:39:11.912] [INFO] http - [::ffff:127.0.0.1 GET / 200 15ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-16T08:59:06.672] [INFO] http - [::ffff:127.0.0.1 GET / 304 17ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-16T09:02:04.837] [INFO] http - [::ffff:127.0.0.1 GET / 304 6ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-16T09:02:05.595] [INFO] http - [::ffff:127.0.0.1 GET / 304 3ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-16T09:02:05.805] [INFO] http - [::ffff:127.0.0.1 GET / 304 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-16T09:07:47.378] [INFO] http - [::ffff:127.0.0.1 GET / 304 4ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-16T09:15:05.188] [INFO] http - [::ffff:127.0.0.1 GET / 304 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-16T10:58:28.970] [INFO] http - [::ffff:127.0.0.1 POST /main 200 31ms][http://127.0.0.1:8007/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-16T10:58:29.082] [INFO] http - [::ffff:127.0.0.1 GET /index 200 8ms][http://127.0.0.1:8007/main HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-16T10:58:41.355] [INFO] http - [::ffff:127.0.0.1 GET /project?username=yyf 200 8ms][http://127.0.0.1:8007/main HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-16T10:58:43.911] [INFO] http - [::ffff:127.0.0.1 GET /vehice?username=yyf 200 9ms][http://127.0.0.1:8007/main HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-16T10:58:46.003] [INFO] http - [::ffff:127.0.0.1 GET /driver?username=yyf 200 13ms][http://127.0.0.1:8007/main HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-16T10:58:50.707] [INFO] http - [::ffff:127.0.0.1 GET /driver?username=yyf 304 13ms][http://127.0.0.1:8007/main HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-16T10:58:51.064] [INFO] http - [::ffff:127.0.0.1 GET /consignee?username=yyf 200 17ms][http://127.0.0.1:8007/main HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
[2020-03-16T10:58:51.280] [INFO] http - [::ffff:127.0.0.1 GET /payee?username=yyf 200 7ms][http://127.0.0.1:8007/main HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36]
